"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"AccessPermitInner","ARSTOTZKA","ARSTOTZKA"
"AccessPermitInner","Access Permit","Erişim İzni"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","Bu belge, bağımsız Arstotzka ulusuna koşullu erişim sağlar."
"AccessPermitInner","NAME","Adı - Soyadı"
"AccessPermitInner","NATIONALITY","UYRUK"
"AccessPermitInner","PURPOSE","AMAÇ"
"AccessPermitInner","HEIGHT","BOY"
"AccessPermitInner","PHYSICAL APPEARANCE","FIZIKSEL GÖRÜNÜŞ"
"AccessPermitInner","ID NUMBER","KIMLIK NO"
"AccessPermitInner","DURATION","SÜRE"
"AccessPermitInner","WEIGHT","KILO"
"AccessPermitInner","ENTER BY","GEÇERLIKIK TARIHI"
"AccessPermitInner","Keep on person","Kişiye Mahsustur"
"AccessPermitInner","Ministry of Admission","Dışişleri Bakanlığı"
"AsylumGrantInner","Arstotzka","Arstotzka"
"AsylumGrantInner","GRANT of ASYLUM","İltica Talebi"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","Bu belge, Arstotzka sınırları içinde şartlı sığınma hakkı vermektedir."
"AsylumGrantInner","NAT","Uyr."
"AsylumGrantInner","ID#","K.No"
"AsylumGrantInner","DOB","D.T."
"AsylumGrantInner","HT","Boy"
"AsylumGrantInner","WT","Kilo"
"AsylumGrantInner","Offer expires after","Geçerlilik Tarihi"
"AsylumGrantInner","Ministry of Admission","Dışişleri Bakanlığı"
"BizCardInnerFront","ENGINEERING","MÜHENDISLIK"
"BizCardInnerFront","Director","Müdür"
"BizCardInnerBack","WE NEED ENGINEERS","MÜHENDIS ARIYORUZ"
"BizCardInnerBack","WILL BEAT .GOV PAY","ASGARI ÜCRET ÜSTÜ MAAŞ"
"BizCardInnerBack","CONTACT NOW","ILETIŞIM"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","<span>Dari Ludum</span> isimli bir adam bana ve kız kardeşime iyi bir iş imkanı sözü verdi"
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","Ona güvenmiyorum. Pasaportuma el koyup beni genelevde çalışmasından korkuyorum. O da sırada."
"BrothelHelpInner","Please do something.","Lütfen bir şey yap."
"BulletinInnerDiploTut","Diplomat","Diplomat"
"BulletinInnerDiploTut","Verification Procedure","Doğrulama Prosedürü"
"BulletinInnerDiploTut","Verify issuing country","Düzenleyen ülkeyi doğrulayın"
"BulletinInnerDiploTut","Verify identity","Kimlik bilgilerini doğrulayın"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Arstotzka'ya diplomatik girişi doğrulayın"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","Eksik belgeler, kural defterindeki ilgili bölüm ve banko vurgulanarak ilişkilendirilebilir."
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","Daha fazla seçeneği etkinleştirmek için kural kitabındaki ilgili bölümle ilişkilendirin."
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Keşfedilen silahları ve kaçak malları kural kitabının ilgili bölümüyle ilişkilendirin."
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Sorgulama yapabilmek için iki uyuşmaz bilgiyi INCELEME modunda seçin"
"BulletinInnerTouchTut","Touch and drag to fine-tune highlighted selection.","Seçimde ince ayar yapmak için dokunun ve sürükleyin."
"BulletinInnerPassportTut","Pay attention to passport nationality.","Pasaport ülkesine dikkat edin."
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Arstotzka<br>Dışişleri Bakanlığı"
"BulletinInnerBoothTut","Inspector's Booth","Memur Kulübesi"
"BulletinInnerBoothTut","Shutter","Kepenk"
"BulletinInnerBoothTut","Counter","Banko"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Kural Kitabı<br>Konuşma Geçmişi<br>Bülten<br>Saat &amp; Tarih"
"BulletinInnerBoothTut2","Arstotzkan<br>Ministry of Admission","Arstotzka<br>Dışişleri Bakanlığı"
"BulletinInnerBoothTut2","Inspector's Booth","Memur Kulübesi"
"BulletinInnerBoothTut2","Shutter","Kepenk"
"BulletinInnerBoothTut2","Counter","Banko"
"BulletinInnerBoothTut2","Audio Transcript<br>Rule Book<br>Weight<br>","Konuşma Geçmişi<br>Kural Kitabı<br>Kilo<br>"
"BulletinInnerBoothTut2","Bulletin Storage<br>Time &amp; Date","Bülten<br>Saat &amp; Tarih"
"BulletinInnerGunTut","Weapons Protocol","Silah Protokolü"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","ALARM ÇALDIĞINDA"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","Silahı kilide sürükleyin."
"BulletinInnerGunTut","Select gun, aim and fire.","Silahı seçin, nişan alın ve ateş edin."
"BulletinInnerGunTut","Time is short. Act fast.","Zaman kısa. Hızlı hareket et."
"BulletinInnerFilerTut","Passport Confiscation","Passporta El Koymak"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","ALTAN bölgesini doğrulayın"
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Pasaportu müsadere çekmecesine koyun."
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","Tutuklamadan önce el koyma işlemini yapın."
"BulletinInnerCriminals","Ministry of Justice","Adalet Bakanlığı"
"BulletinInnerCriminals","WANTED CRIMINALS","ARANAN SUÇLULAR"
"BulletinInnerNews","NEWS","HABERLER"
"BulletinPagesNote","CHECK ALL<br>PAGES","TÜM SAYFALARI<br>KONTROL ET"
"CitationInner","M.O.A. CITATION","D.B. Celbi"
"DiplomaticAuthInner","Diplomatic<br>Authorization","Diplomatik<br>Ruhsat"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","Bu belge, belirtilen temsilciye bir Milletler Konseyi üye devletinin diplomatik varlığı olarak yetki verir."
"DiplomaticAuthInner","AGENT","AJAN"
"DiplomaticAuthInner","PASSPORT","PASAPORT"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","Belgeyi sunan kişi, adı geçen tüm Milletler Konseyi üye devletlerine koşulsuz erişim sağlanmalıdır."
"DiplomaticAuthInner","This document has no expiry.","Bu belgenin geçerlilik süresi yoktur."
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","MILLETLER KONSEYI - YEDI ÜYE FORUMU"
"EntryPermitInner","ARSTOTZKA","ARSTOTZKA"
"EntryPermitInner","Entry Permit","Giriş İzni"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","Bağımsız ulus Arstotzka'ya koşullu giriş izni şu kişiye verilmiştir:"
"EntryPermitInner","bearing passport number","Pasaport numarası:"
"EntryPermitInner","Purpose","Amaç"
"EntryPermitInner","Duration","Süre"
"EntryPermitInner","Enter by","Son Giriş"
"EntryPermitInner","Ministry of Admission","Dışişleri Bakanlığı"
"EntryTicketInner","Arstotzka","Arstotzka"
"EntryTicketInner","ENTRY TICKET","Giriş Bileti"
"EntryTicketInner","VALID ON","GEÇERLI:"
"EzicNoteInnerOpen","READ QUICKLY","HEMEN OKU"
"EzicNoteInnerOpen","RETURN TO MESSENGER","ELÇİYE GERİ VER"
"FamilyPhotoInner","HANG ON WALL","DUVARA ASILABILIR"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","BU KAĞIDI YOLCUYA VERIN"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","SAHBTE OBRISTAN<br>BELGELERI MI LAZIM?"
"ForgeryFlyerInnerFront","""It looks so real!""","""Tıpkısının aynısı!"""
"ForgeryFlyerInnerFront","""Approved for entry!""","""Girmeme izin verildi!"""
"ForgeryFlyerInnerFront","Fair rates!","Uygun Fiyatlar!"
"ForgeryFlyerInnerFront","No questions asked!","Hiçbir Soru Sorulmaz!"
"ForgeryFlyerInnerFront","Fast turnaround!","Hemen Teslim!"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","ŞARTLAR ARKADA"
"ForgeryFlyerInnerBack","PRICING (EACH)","FIYATLAR (HER BIRI)"
"ForgeryFlyerInnerBack","Passport *","Pasaport *"
"ForgeryFlyerInnerBack","Entry Ticket","Giriş Bileti"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","Yeni bilgilerle değiştirilebilmesi için müşterinin Obristan pasaportu olmalıdır"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","Arstotzka/Obristan sınırında hizmet verilir"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","Timofei Wee'yi Bulun"
"GymFlyerInner","Underweight?Weak?Tired?","Sıska,Zayıf,Yorgun Musun?"
"GymFlyerInner","JOIN BEST GYM!","SEN DE GEL!"
"GymFlyerInner","GET BIG TOWN","KOCA KASLAR"
"GymFlyerInner","East Grestin","Doğu Grestin"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","YOLCUNUN BELGELERI YOK"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","Sorgulamak için TEFTIŞ moduna geçin."
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","Detaylı bilgi için bugünkü bültenin ikinci sayfasını kontrol edin."
"IdCardInner","ARSTOTZKA IDENTITY CARD","ARSTOTZKA KIMLIK KARTI"
"IdCardInner","DOB","D.T.:"
"IdCardInner","HT.","Boy."
"IdCardInner","WT.","Kilo."
"IdentityRecordInner","M.O.A. IDENTITY RECORD","D.B. KIMLIK KAYDI"
"IdentityRecordInner","NAME:","ADI:"
"IdentityRecordInner","ALIAS:","RUMUZ:"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","Yolcunun parmak izi ve isim/rumuzu bu kayda uymalıdır."
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","EK KIMLIK<br>BILGILERI"
"IdSupplementInner","HT","BOY"
"IdSupplementInner","WT","KILO"
"IdSupplementInner","DESCRIPTION","AÇIKLAMA"
"IdSupplementInner","THUMB","PARMAK"
"IdSupplementInner","Keep on person","Kişide Kalmalı"
"IdSupplementInner","EXP.","SGT."
"LocketInnerOpen","To Sergiu from your Elisa","Sergiu'ya Elisa'ndan"
"LocketInnerOpen","I Love You Always","Sonsuza Kadar"
"LoveSongInner1","YOU","YOU"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","ALEV GIBI ATESLISIN"
"LoveSongInner2","you","sen"
"LoveSongInner2","OBJECT OF DESIRE","ARZUNUN AMACI"
"LoveSongInner3","YOU<br>(AGAIN)","SEN<br>(YINE)"
"LoveSongInner3","WRAP MY HEART IN WIRE","KALBIMI SARIYORSUN"
"LoveSongInner4","ApPROVED","ONay"
"LoveSongInner4","APPROVE MY VISA","VIZEMI ONAYLA"
"tweak-passport-field-padding-left","2px","1px"
"PassportInnerAntegria","ENTRY VISA","GİRİŞ VİZESİ"
"PassportInnerAntegria","DOB.","DT."
"PassportInnerAntegria","SEX","K/E"
"PassportInnerAntegria","ISS.","B.Y."
"PassportInnerAntegria","EXP.","SGT."
"PassportInnerAntegria","ANTEGRIA","ANTEGRIA"
"tweak-passport-arstotzka-nation","16px","16px"
"PassportInnerArstotzka","ENTRY VISA","GİRİŞ VİZESİ"
"PassportInnerArstotzka","DOB.","D.T."
"PassportInnerArstotzka","SEX","K/E"
"PassportInnerArstotzka","ISS.","B.Y."
"PassportInnerArstotzka","EXP.","SGT."
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKA"
"PassportInnerImpor","ENTRY VISA","GİRİŞ VİZESİ"
"PassportInnerImpor","DOB.","D.T."
"PassportInnerImpor","SEX","K/E"
"PassportInnerImpor","ISS.","B.Y."
"PassportInnerImpor","EXP.","SGT."
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","GİRİŞ VİZESİ"
"PassportInnerKolechia","DOB.","D.T."
"PassportInnerKolechia","SEX","K/E"
"PassportInnerKolechia","ISS.","B.Y."
"PassportInnerKolechia","EXP.","SGT."
"PassportInnerKolechia","KOLECHIA","KOLECHIA"
"PassportInnerObristan","ENTRY VISA","GİRİŞ VİZESİ"
"PassportInnerObristan","DOB.","D.T."
"PassportInnerObristan","SEX","K/E"
"PassportInnerObristan","ISS.","B.Y."
"PassportInnerObristan","EXP.","SGT."
"PassportInnerObristan","OBRISTAN","OBRISTAN"
"PassportInnerRepublia","ENTRY VISA","GİRİŞ VİZESİ"
"PassportInnerRepublia","DOB.","D.T."
"PassportInnerRepublia","SEX","K/E"
"PassportInnerRepublia","ISS.","B.Y."
"PassportInnerRepublia","EXP.","SGT."
"PassportInnerRepublia","REPUBLIA","REPUBLIA"
"PassportInnerUnitedFed","ENTRY VISA","GİRİŞ VİZESİ"
"PassportInnerUnitedFed","DOB.","D.T."
"PassportInnerUnitedFed","SEX","K/E"
"PassportInnerUnitedFed","ISS.","B.Y."
"PassportInnerUnitedFed","EXP.","SGT."
"PassportInnerUnitedFed","UNITED FEDERATION","BIRLESIK FEDERASYON"
"PlaqueOneInner","Ministry of Admission","DIŞİŞLERİ BAKANLIĞI"
"PlaqueOneInner","RECOGNITION","TAKDİR"
"PlaqueOneInner","FOR","BELGESİ"
"PlaqueOneInner","HANG ON WALL","DUVARA ASILABILIR"
"PlaqueTwoInner","Ministry of Admission","DIŞİŞLERİ BAKANLIĞI"
"PlaqueTwoInner","RECOGNITION","TAKDİR"
"PlaqueTwoInner","FOR","BELGESİ"
"PlaqueTwoInner","HANG ON WALL","DUVARA ASILABILIR"
"PoisonInnerBack","OPEN","AÇ"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","PUDRAYA DOKUNMA"
"PoisonInnerOpen1","CLOSE","KAPAT"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","PASAPORTU PUDRAYA HIZALA"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","UYGULAMAK IÇIN BAS"
"PoisonInnerOpen2","CLOSE","KAPAT"
"PoliceBadgeInner","MINISTRY OF INFORMATION","HABER ALMA BAKANLIĞI"
"PoliceBadgeInner","Office of Investigation","Soruşturma Bürosu"
"PoliceBadgeInner","East Grestin Division","Doğu Grestin Birliği"
"PoliceBadgeInner","Special Investigator","Özel Müfettiş"
"PoliceBadgeInner","MOI","MOI"
"PressPassInner","INTERNATIONAL","ULUSLARARASI"
"PressPassInner","PRESS","BASIN"
"PressPassInner","IDENTIFICATION","KARTI"
